id;sexo;edad;region;ciudad;producto;antiguedad_anios;P1_sat_atencion;P2_sat_tiempos;P3_sat_app;P4_sat_sucursal;P5_sat_general;P6_nps;comentario;ponderador
209;1;999,0;Biobio;la serena;Cuenta Vista;12;5,0;4,0;2,0;3,0;4,0;8,0;La app se cae seguido;0,791
210;2;35,0;Metropolitana;Villarrica;Cuenta Corriente;2;5,0;4,0;5,0;5,0;5,0;4,0;;2,171
211;2;64,0;Valparaiso;STGO;Credito de Consumo;17;3,0;4,0;5,0;4,0;3,0;3,0;;1,13
212;2;25,0;Coquimbo;Santiago ;Tarjeta de Credito;4;4,0;4,0;5,0;2,0;4,0;10,0;Demoraron mucho en atenderme;1,879
213;1;62,0;Valparaiso;La Serena;Cuenta Corriente;10;3,0;5,0;5,0;5,0;4,0;7,0;Excelente ejecutivo;1,752
214;1;58,0;Coquimbo;santiago;Credito de Consumo;9;1,0;5,0;4,0;1,0;3,0;3,0;Muy malos los tiempos de espera;0,612
215;2;67,0;Biobio;Viña del Mar;Cuenta Corriente;12;4,0;4,0;5,0;2,0;1,0;9,0;;0,788
216;2;57,0;METROPOLITANA;valpo;Cuenta Vista;23;1,0;4,0;3,0;4,0;1,0;9,0;;1,088
217;1;57,0;Metropolitana;valpo;Cuenta Corriente;4;5,0;5,0;1,0;4,0;3,0;2,0;Demoraron mucho en atenderme;0,765
218;2;58,0;  Araucania;Santiago ;Cuenta Corriente;19;4,0;5,0;1,0;3,0;2,0;9,0;Sin comentarios;0,802
219;2;69,0;Metropolitana;La Serena;Cuenta Vista;10;2,0;5,0;99,0;99,0;4,0;1,0;Todo bien;2,148
220;2;74,0;Biobio;Villarrica;Credito de Consumo;13;5,0;2,0;4,0;5,0;2,0;3,0;Todo bien;1,31
221;2;38,0;Metropolitana ;Santiago ;Cuenta Corriente;23;5,0;4,0;3,0;3,0;5,0;8,0;Muy malos los tiempos de espera;0,976
222;2;30,0;Metropolitana;Vina del Mar;Cuenta Corriente;23;4,0;2,0;4,0;5,0;5,0;99,0;Excelente ejecutivo;0,528
223;2;77,0;biobio;Vina del Mar;Cuenta Vista;23;4,0;5,0;4,0;99,0;1,0;6,0;Demoraron mucho en atenderme;1,911
224;1;55,0;Coquimbo;Santiago ;Tarjeta de Credito;12;1,0;3,0;2,0;4,0;3,0;8,0;;1,199
225;2;73,0;Coquimbo;Santiago ;Credito de Consumo;24;2,0;5,0;5,0;3,0;4,0;8,0;La app se cae seguido;1,253
226;1;67,0;metropolitana;Talcahuano;Cuenta Corriente;7;3,0;5,0;2,0;4,0;3,0;8,0;Sin comentarios;0,936
227;2;26,0;Araucania;santiago;Cuenta Corriente;6;2,0;3,0;5,0;99,0;3,0;10,0;;1,536
228;2;39,0;Biobio;STGO;Cuenta Corriente;23;5,0;3,0;4,0;5,0;4,0;6,0;Demoraron mucho en atenderme;0,875
229;2;66,0;Valparaiso;Santiago ;Cuenta Vista;20;5,0;3,0;5,0;3,0;99,0;10,0;Mejorar el sitio web;1,2
230;2;80,0;Araucania;Vina del Mar;Tarjeta de Credito;23;2,0;1,0;4,0;5,0;2,0;10,0;;0,642
231;1;79,0;biobio;valpo;Cuenta Corriente;8;5,0;4,0;5,0;4,0;5,0;7,0;;1,002
232;1;77,0;  Valparaiso;VALPARAISO;Cuenta Vista;14;5,0;3,0;4,0;4,0;3,0;7,0;;1,65
233;1;50,0;Metropolitana;STGO;Cuenta Corriente;14;5,0;2,0;5,0;5,0;4,0;8,0;Todo bien;0,979
234;2;18,0;araucania;Talcahuano;Cuenta Corriente;3;99,0;3,0;5,0;4,0;4,0;6,0;;2,043
235;2;23,0;Valparaiso;Los Angeles;Tarjeta de Credito;23;4,0;4,0;4,0;5,0;5,0;8,0;;0,958
236;1;78,0;Coquimbo;Talcahuano;Cuenta Corriente;11;4,0;2,0;3,0;4,0;3,0;10,0;La app se cae seguido;1,624
237;1;47,0;Biobio;Santiago ;Credito de Consumo;15;4,0;5,0;5,0;4,0;5,0;9,0;Muy malos los tiempos de espera;0,699
238;2;52,0;Metropolitana;Santiago;Tarjeta de Credito;21;4,0;4,0;2,0;4,0;5,0;10,0;;2,067
239;1;76,0;Biobio;Santiago;Tarjeta de Credito;23;4,0;2,0;3,0;4,0;5,0;8,0;Buena atencion;0,796
240;2;20,0;Coquimbo;Villarrica;Credito de Consumo;25;5,0;2,0;4,0;3,0;3,0;8,0;Excelente ejecutivo;0,941
241;2;26,0;coquimbo;VALPARAISO;Tarjeta de Credito;20;4,0;5,0;5,0;3,0;99,0;5,0;;1,821
242;2;77,0;Metropolitana;Santiago ;Credito de Consumo;6;5,0;5,0;2,0;4,0;3,0;9,0;;1,497
243;2;69,0;biobio;concepción;Cuenta Vista;9;4,0;3,0;3,0;4,0;3,0;2,0;;1,698
244;1;40,0;Biobio;STGO;Credito de Consumo;2;3,0;4,0;5,0;5,0;4,0;99,0;Muy malos los tiempos de espera;0,926
245;1;71,0;Coquimbo;Santiago ;Cuenta Vista;10;4,0;4,0;3,0;5,0;3,0;7,0;Muy malos los tiempos de espera;1,37
246;1;59,0;Metropolitana;Santiago;Cuenta Corriente;22;5,0;5,0;4,0;4,0;5,0;7,0;;1,416
247;1;30,0;Metropolitana ;Puente Alto;Cuenta Corriente;22;4,0;5,0;4,0;4,0;5,0;6,0;;1,425
248;2;25,0;Metropolitana;Vina del Mar;Tarjeta de Credito;12;5,0;5,0;3,0;2,0;5,0;7,0;;0,695
249;1;26,0;Metropolitana;Padre Las Casas;Tarjeta de Credito;14;3,0;3,0;4,0;4,0;4,0;5,0;;1,155
250;1;80,0;Araucania;Santiago;Cuenta Corriente;10;3,0;5,0;5,0;5,0;1,0;8,0;;0,592
251;2;66,0;Coquimbo;concepción;Cuenta Corriente;24;2,0;4,0;3,0;5,0;5,0;9,0;Todo bien;1,864
252;1;53,0;Metropolitana ;Santiago;Tarjeta de Credito;7;5,0;3,0;1,0;5,0;5,0;10,0;;1,634
253;1;29,0;Biobio;santiago;Cuenta Corriente;9;4,0;4,0;1,0;3,0;3,0;4,0;Sin comentarios;1,243
254;1;73,0;coquimbo;la serena;Cuenta Corriente;9;5,0;4,0;4,0;99,0;3,0;9,0;;2,01
255;2;72,0;Araucania;Ovalle;Cuenta Corriente;2;4,0;4,0;4,0;99,0;5,0;6,0;Mejorar el sitio web;1,426
256;1;18,0;Metropolitana;Santiago ;Cuenta Corriente;13;4,0;5,0;5,0;4,0;4,0;7,0;;1,453
257;1;47,0;valparaiso;Padre Las Casas;Cuenta Corriente;7;3,0;1,0;4,0;99,0;5,0;9,0;Todo bien;1,038
258;2;73,0;Biobio;Los Angeles;Tarjeta de Credito;20;4,0;4,0;5,0;5,0;5,0;1,0;;1,364
259;2;79,0;metropolitana;Santiago;Cuenta Vista;15;4,0;3,0;5,0;4,0;3,0;5,0;;0,734
260;2;51,0;Coquimbo;STGO;Cuenta Vista;3;5,0;3,0;5,0;1,0;4,0;9,0;Mejorar el sitio web;1,39
261;1;35,0;Valparaiso;concepción;Cuenta Corriente;8;3,0;3,0;4,0;4,0;1,0;5,0;Excelente ejecutivo;1,605
262;2;48,0;VALPARAISO;la serena;Cuenta Vista;0;4,0;3,0;1,0;5,0;2,0;5,0;;2,161
263;9;31,0;Metropolitana;Concepcion;Credito de Consumo;10;3,0;4,0;4,0;5,0;4,0;3,0;;0,791
264;2;40,0;Valparaiso ;temuco;Cuenta Corriente;18;4,0;5,0;4,0;2,0;2,0;5,0;Excelente ejecutivo;1,766
265;2;22,0;Metropolitana;temuco;Credito de Consumo;0;5,0;4,0;2,0;5,0;4,0;10,0;;1,291
266;2;78,0;Biobio;concepción;Cuenta Vista;13;4,0;99,0;3,0;4,0;5,0;10,0;Mejorar el sitio web;1,854
267;2;39,0;Biobio;Santiago;Cuenta Vista;9;4,0;2,0;4,0;4,0;5,0;0,0;;0,404
268;1;47,0;metropolitana;santiago;Tarjeta de Credito;11;4,0;4,0;2,0;3,0;4,0;99,0;La app se cae seguido;0,664
269;2;46,0;BIOBIO;Coquimbo;Cuenta Corriente;6;4,0;3,0;3,0;1,0;4,0;8,0;Muy malos los tiempos de espera;1,959
270;2;79,0;Valparaiso;Santiago;Cuenta Corriente;22;5,0;4,0;5,0;5,0;4,0;9,0;Demoraron mucho en atenderme;1,669
271;2;53,0;VALPARAISO;Santiago;Credito de Consumo;18;5,0;5,0;5,0;4,0;5,0;9,0;Sin comentarios;1,183
272;1;49,0;Biobio;Santiago;Cuenta Vista;19;5,0;4,0;2,0;2,0;4,0;10,0;Demoraron mucho en atenderme;0,425
273;1;20,0;METROPOLITANA;Temuco;Cuenta Corriente;23;3,0;2,0;3,0;3,0;4,0;10,0;;2,031
274;1;58,0;Metropolitana;valpo;Credito de Consumo;21;5,0;3,0;5,0;2,0;4,0;7,0;;0,425
275;2;73,0;Valparaiso;STGO;Cuenta Vista;24;4,0;4,0;4,0;3,0;3,0;9,0;Muy malos los tiempos de espera;1,553
276;2;67,0;Metropolitana;Vina del Mar;Tarjeta de Credito;25;4,0;5,0;5,0;3,0;4,0;7,0;;1,203
277;2;23,0;VALPARAISO;Puente Alto;Tarjeta de Credito;24;2,0;3,0;4,0;3,0;4,0;9,0;La app se cae seguido;1,501
278;1;69,0;  Metropolitana;Santiago;Cuenta Corriente;24;4,0;4,0;1,0;5,0;4,0;8,0;La app se cae seguido;1,117
279;2;61,0;Biobio;VALPARAISO;Credito de Consumo;12;5,0;4,0;4,0;5,0;5,0;3,0;;1,125
280;1;60,0;Coquimbo;valpo;Tarjeta de Credito;9;5,0;5,0;3,0;5,0;4,0;7,0;;2,191
281;2;45,0;Valparaiso;Santiago;Cuenta Vista;21;3,0;5,0;5,0;3,0;5,0;8,0;Sin comentarios;1,432
282;2;999,0;Araucania;santiago;Cuenta Vista;23;4,0;5,0;5,0;5,0;3,0;99,0;;2,107
283;1;38,0;METROPOLITANA;valpo;Cuenta Vista;16;1,0;1,0;3,0;3,0;4,0;8,0;Excelente ejecutivo;1,107
284;1;63,0;Valparaiso;Santiago;Cuenta Corriente;6;4,0;5,0;3,0;3,0;5,0;9,0;La app se cae seguido;0,867
285;2;22,0;  Valparaiso;Temuco;Cuenta Vista;23;5,0;4,0;4,0;2,0;5,0;10,0;Sin comentarios;1,573
286;1;33,0;Metropolitana;Santiago ;Cuenta Corriente;17;4,0;1,0;4,0;5,0;4,0;6,0;;0,709
287;1;22,0;metropolitana;STGO;Cuenta Corriente;15;5,0;99,0;5,0;4,0;3,0;3,0;Demoraron mucho en atenderme;1,069
288;1;42,0;Metropolitana;la serena;Tarjeta de Credito;18;2,0;2,0;4,0;3,0;3,0;9,0;Excelente ejecutivo;1,954
289;1;62,0;  Metropolitana;Santiago ;Cuenta Corriente;3;5,0;4,0;2,0;4,0;4,0;10,0;Todo bien;0,783
290;2;36,0;Araucania;valpo;Cuenta Vista;22;5,0;4,0;3,0;3,0;5,0;8,0;Mejorar el sitio web;0,449
291;2;72,0;METROPOLITANA;temuco;Credito de Consumo;16;4,0;2,0;5,0;5,0;5,0;3,0;Excelente ejecutivo;1,444
292;1;74,0;Coquimbo;Santiago;Cuenta Corriente;6;3,0;5,0;5,0;99,0;2,0;5,0;;0,922
293;2;65,0;Metropolitana ;Puente Alto;Cuenta Corriente;25;3,0;4,0;4,0;3,0;4,0;9,0;;1,613
294;1;72,0;Metropolitana;Puente Alto;Tarjeta de Credito;1;99,0;2,0;3,0;5,0;3,0;8,0;Mejorar el sitio web;1,908
295;2;57,0;VALPARAISO;Concepcion;Credito de Consumo;18;4,0;5,0;5,0;2,0;4,0;4,0;Buena atencion;0,993
296;2;41,0;Biobio;Santiago ;Cuenta Vista;22;4,0;4,0;1,0;2,0;3,0;5,0;La app se cae seguido;1,406
297;1;64,0;biobio;Santiago ;Cuenta Corriente;18;4,0;1,0;5,0;5,0;5,0;9,0;;1,41
298;2;75,0;Metropolitana;Talcahuano;Cuenta Vista;11;2,0;3,0;1,0;2,0;99,0;8,0;La app se cae seguido;2,043
299;1;33,0;Metropolitana;valpo;Credito de Consumo;24;4,0;4,0;3,0;3,0;4,0;6,0;;2,128
300;2;52,0;  Coquimbo;santiago;Tarjeta de Credito;7;3,0;2,0;5,0;2,0;3,0;8,0;Demoraron mucho en atenderme;1,786
301;2;62,0;metropolitana;Puente Alto;Cuenta Corriente;4;4,0;3,0;5,0;4,0;1,0;10,0;Mejorar el sitio web;1,15
302;2;51,0;Metropolitana;santiago;Credito de Consumo;10;4,0;4,0;3,0;2,0;3,0;8,0;Mejorar el sitio web;1,459
303;2;57,0;Coquimbo ;Santiago;Cuenta Vista;16;5,0;2,0;5,0;5,0;5,0;1,0;;0,405
304;1;22,0;Valparaiso;Viña del Mar;Cuenta Corriente;16;2,0;99,0;5,0;5,0;4,0;99,0;Demoraron mucho en atenderme;0,93
305;2;72,0;Metropolitana;VALPARAISO;Credito de Consumo;17;5,0;3,0;5,0;5,0;1,0;8,0;Mejorar el sitio web;1,681
306;9;45,0;Metropolitana;STGO;Cuenta Corriente;3;5,0;4,0;2,0;5,0;4,0;1,0;La app se cae seguido;1,876
307;1;60,0;Valparaiso;La Serena;Cuenta Vista;12;2,0;5,0;5,0;4,0;4,0;4,0;Muy malos los tiempos de espera;0,807
308;1;66,0;Coquimbo;Santiago ;Tarjeta de Credito;18;4,0;4,0;4,0;3,0;1,0;6,0;Sin comentarios;0,466
309;1;48,0;valparaiso;Coquimbo;Cuenta Vista;18;5,0;2,0;1,0;4,0;5,0;9,0;La app se cae seguido;1,828
310;2;72,0;Metropolitana;santiago;Tarjeta de Credito;8;3,0;5,0;3,0;4,0;3,0;8,0;La app se cae seguido;1,881
311;1;33,0;Araucania;Villarrica;Tarjeta de Credito;13;5,0;4,0;99,0;5,0;5,0;3,0;Sin comentarios;0,753
312;2;26,0;Valparaiso;Santiago;Cuenta Vista;17;3,0;5,0;4,0;4,0;3,0;6,0;Buena atencion;0,879
313;1;42,0;metropolitana;Santiago;Cuenta Vista;11;5,0;2,0;5,0;2,0;4,0;8,0;;2,106
314;2;65,0;Valparaiso;Puente Alto;Tarjeta de Credito;24;3,0;2,0;5,0;5,0;2,0;10,0;Todo bien;1,9
315;1;48,0;Biobio;STGO;Credito de Consumo;1;4,0;5,0;5,0;5,0;4,0;8,0;;0,69
316;1;73,0;COQUIMBO;La Serena;Tarjeta de Credito;7;3,0;5,0;5,0;1,0;4,0;9,0;;0,913
317;2;76,0;Biobio;Vina del Mar;Cuenta Vista;23;3,0;2,0;4,0;5,0;4,0;10,0;Buena atencion;0,737
318;2;69,0;Metropolitana;concepción;Tarjeta de Credito;25;99,0;1,0;3,0;1,0;4,0;9,0;;1,813
319;1;48,0;Metropolitana;la serena;Cuenta Vista;8;5,0;4,0;5,0;4,0;5,0;3,0;Mejorar el sitio web;1,882
320;1;20,0;Metropolitana;Santiago ;Cuenta Corriente;11;3,0;3,0;5,0;5,0;4,0;8,0;;2,01
321;2;23,0;biobio;Valparaiso;Cuenta Corriente;5;2,0;5,0;5,0;4,0;4,0;8,0;Buena atencion;1,645
322;1;56,0;metropolitana;Santiago ;Cuenta Vista;23;1,0;2,0;3,0;5,0;2,0;2,0;La app se cae seguido;1,029
323;1;68,0;Valparaiso;Santiago;Cuenta Vista;23;5,0;5,0;99,0;5,0;4,0;10,0;;0,997
324;1;34,0;Metropolitana;valpo;Cuenta Corriente;8;5,0;1,0;3,0;3,0;99,0;8,0;Excelente ejecutivo;1,42
325;2;69,0;Metropolitana;Puente Alto;Tarjeta de Credito;0;4,0;3,0;5,0;99,0;5,0;8,0;Demoraron mucho en atenderme;1,684
326;1;58,0;BIOBIO;STGO;Cuenta Vista;19;5,0;5,0;4,0;5,0;4,0;2,0;Excelente ejecutivo;0,743
327;1;70,0;Biobio;Talcahuano;Tarjeta de Credito;21;2,0;4,0;4,0;99,0;2,0;10,0;;1,511
328;2;61,0;Metropolitana;Padre Las Casas;Cuenta Corriente;22;5,0;2,0;3,0;3,0;4,0;9,0;;1,077
329;2;47,0;Valparaiso;Talcahuano;Cuenta Vista;21;4,0;4,0;3,0;3,0;5,0;8,0;Muy malos los tiempos de espera;1,911
330;1;33,0;Coquimbo;Puente Alto;Cuenta Vista;23;4,0;99,0;99,0;5,0;4,0;8,0;Demoraron mucho en atenderme;0,58
331;1;53,0;Metropolitana;Puente Alto;Credito de Consumo;22;4,0;5,0;4,0;5,0;4,0;9,0;;1,064
332;1;999,0;METROPOLITANA;Ovalle;Cuenta Corriente;19;3,0;4,0;5,0;2,0;1,0;9,0;Demoraron mucho en atenderme;1,503
333;2;30,0;Valparaiso;Vina del Mar;Cuenta Vista;25;5,0;5,0;4,0;4,0;3,0;7,0;;1,832
334;1;61,0;Metropolitana;VALPARAISO;Cuenta Corriente;3;5,0;3,0;2,0;99,0;4,0;5,0;Mejorar el sitio web;0,409
335;2;25,0;Coquimbo;Viña del Mar;Cuenta Vista;17;5,0;4,0;1,0;4,0;5,0;8,0;La app se cae seguido;1,287
336;2;68,0;coquimbo;Puente Alto;Cuenta Vista;0;4,0;2,0;99,0;99,0;3,0;7,0;;1,679
337;1;25,0;METROPOLITANA;Santiago ;Cuenta Corriente;7;3,0;5,0;3,0;5,0;4,0;7,0;Mejorar el sitio web;1,257
338;1;19,0;Valparaiso;Viña del Mar;Cuenta Vista;18;4,0;5,0;3,0;4,0;2,0;9,0;Mejorar el sitio web;0,828
339;2;79,0;Metropolitana;Valparaiso;Cuenta Vista;2;5,0;3,0;4,0;1,0;1,0;6,0;Todo bien;1,128
340;1;48,0;Biobio;concepción;Cuenta Corriente;2;4,0;4,0;2,0;5,0;3,0;10,0;;0,912
341;2;21,0;Valparaiso;Concepcion;Cuenta Vista;22;2,0;4,0;2,0;3,0;99,0;9,0;Excelente ejecutivo;0,416
342;2;34,0;Metropolitana;Santiago;Tarjeta de Credito;0;4,0;4,0;5,0;5,0;4,0;9,0;Sin comentarios;2,101
343;1;34,0;Metropolitana;concepción;Cuenta Corriente;17;5,0;3,0;3,0;4,0;4,0;5,0;Todo bien;1,661
344;1;38,0;Valparaiso;Puente Alto;Tarjeta de Credito;23;5,0;4,0;5,0;3,0;2,0;5,0;Demoraron mucho en atenderme;0,628
345;2;26,0;  Araucania;santiago;Tarjeta de Credito;6;4,0;4,0;4,0;3,0;5,0;7,0;Mejorar el sitio web;1,007
346;2;46,0;METROPOLITANA;Padre Las Casas;Credito de Consumo;17;2,0;3,0;5,0;5,0;2,0;9,0;;1,926
347;2;32,0;Araucania;Santiago;Cuenta Vista;13;1,0;4,0;3,0;3,0;5,0;8,0;;1,177
348;1;61,0;  Metropolitana;STGO;Cuenta Vista;8;3,0;3,0;4,0;99,0;5,0;8,0;Buena atencion;1,797
349;1;79,0;Biobio;STGO;Cuenta Vista;5;3,0;4,0;4,0;5,0;5,0;5,0;Demoraron mucho en atenderme;1,666
350;2;74,0;Metropolitana;Santiago ;Cuenta Corriente;10;3,0;5,0;4,0;4,0;4,0;9,0;;1,374
351;1;65,0;Valparaiso;Santiago ;Cuenta Corriente;5;2,0;4,0;5,0;5,0;5,0;8,0;;1,226
352;2;62,0;Metropolitana;Santiago ;Cuenta Vista;25;4,0;4,0;99,0;5,0;5,0;8,0;;0,913
353;1;65,0;metropolitana;la serena;Cuenta Corriente;4;3,0;4,0;5,0;5,0;1,0;8,0;Todo bien;1,24
354;2;52,0;Metropolitana;Puente Alto;Tarjeta de Credito;14;4,0;2,0;4,0;5,0;4,0;5,0;;1,526
355;2;48,0;araucania;Santiago;Cuenta Vista;23;99,0;4,0;5,0;4,0;1,0;9,0;Demoraron mucho en atenderme;1,055
356;1;48,0;VALPARAISO;Padre Las Casas;Cuenta Corriente;17;4,0;5,0;2,0;4,0;3,0;8,0;Buena atencion;1,165
357;1;49,0;Metropolitana;STGO;Cuenta Corriente;19;5,0;4,0;2,0;3,0;4,0;8,0;Buena atencion;0,452
358;1;67,0;Metropolitana;VALPARAISO;Credito de Consumo;7;4,0;3,0;4,0;3,0;5,0;5,0;Muy malos los tiempos de espera;1,365
359;1;50,0;Araucania ;Santiago;Cuenta Vista;4;2,0;4,0;4,0;2,0;5,0;10,0;La app se cae seguido;1,95
360;1;79,0;Metropolitana;concepción;Cuenta Corriente;13;3,0;5,0;3,0;5,0;3,0;9,0;Todo bien;1,473
361;2;30,0;Metropolitana;Santiago;Cuenta Vista;11;2,0;3,0;4,0;4,0;99,0;4,0;La app se cae seguido;2,123
362;1;79,0;Metropolitana;concepción;Credito de Consumo;2;4,0;3,0;3,0;3,0;5,0;10,0;;0,462
363;1;76,0;  Araucania;STGO;Cuenta Corriente;18;3,0;4,0;3,0;4,0;4,0;7,0;La app se cae seguido;2,003
364;2;55,0;METROPOLITANA;Vina del Mar;Tarjeta de Credito;13;4,0;5,0;4,0;4,0;4,0;7,0;Mejorar el sitio web;0,42
365;1;28,0;Valparaiso;Ovalle;Cuenta Corriente;15;5,0;4,0;5,0;3,0;1,0;9,0;;1,009
366;2;26,0;Metropolitana;la serena;Cuenta Vista;3;4,0;1,0;5,0;5,0;3,0;8,0;;1,442
367;2;29,0;Metropolitana;Puente Alto;Cuenta Vista;21;4,0;4,0;4,0;1,0;3,0;8,0;;0,565
368;2;36,0;METROPOLITANA;Puente Alto;Tarjeta de Credito;16;99,0;4,0;5,0;3,0;3,0;8,0;Demoraron mucho en atenderme;0,565
369;2;67,0;  Metropolitana;santiago;Cuenta Corriente;1;3,0;99,0;5,0;3,0;4,0;9,0;;1,59
370;1;78,0;Araucania;concepción;Cuenta Vista;16;5,0;4,0;3,0;3,0;3,0;9,0;;1,556
371;2;28,0;Metropolitana;Santiago ;Credito de Consumo;2;5,0;3,0;1,0;3,0;1,0;6,0;Mejorar el sitio web;2,18
372;1;21,0;Metropolitana;STGO;Tarjeta de Credito;7;99,0;2,0;99,0;4,0;4,0;8,0;;0,796
373;1;74,0;Biobio;Puente Alto;Cuenta Vista;5;5,0;4,0;2,0;5,0;3,0;4,0;;1,936
374;2;34,0;Metropolitana;STGO;Cuenta Corriente;0;3,0;4,0;4,0;5,0;3,0;3,0;;1,057
375;2;74,0;  Araucania;concepción;Tarjeta de Credito;0;4,0;4,0;5,0;3,0;2,0;10,0;Buena atencion;1,654
376;1;60,0;Metropolitana;santiago;Credito de Consumo;19;4,0;4,0;99,0;5,0;4,0;0,0;Muy malos los tiempos de espera;1,385
377;2;63,0;Metropolitana;VALPARAISO;Credito de Consumo;0;5,0;1,0;4,0;4,0;4,0;8,0;Demoraron mucho en atenderme;1,935
378;2;53,0;Valparaiso;concepción;Cuenta Corriente;2;5,0;99,0;5,0;4,0;2,0;99,0;Excelente ejecutivo;1,124
379;1;31,0;Valparaiso;STGO;Cuenta Vista;25;3,0;4,0;4,0;3,0;3,0;7,0;Excelente ejecutivo;1,088
380;2;38,0;Metropolitana ;STGO;Tarjeta de Credito;5;3,0;5,0;1,0;4,0;3,0;10,0;Sin comentarios;1,044
381;2;57,0;Biobio;STGO;Cuenta Corriente;15;4,0;4,0;5,0;3,0;5,0;7,0;;2,067
382;2;47,0;Metropolitana;Santiago ;Cuenta Vista;5;5,0;5,0;5,0;4,0;5,0;9,0;Excelente ejecutivo;1,983
383;2;76,0;Valparaiso;Santiago;Cuenta Corriente;17;2,0;3,0;3,0;3,0;5,0;5,0;Sin comentarios;1,509
384;2;53,0;Metropolitana;Los Angeles;Cuenta Corriente;2;4,0;4,0;4,0;5,0;4,0;9,0;;1,655
385;1;43,0;Biobio;Santiago ;Tarjeta de Credito;3;5,0;4,0;5,0;99,0;3,0;5,0;La app se cae seguido;1,936
386;1;78,0;Metropolitana;STGO;Tarjeta de Credito;9;4,0;5,0;4,0;2,0;5,0;5,0;Demoraron mucho en atenderme;0,511
387;1;26,0;  Biobio;VALPARAISO;Cuenta Corriente;2;4,0;4,0;5,0;4,0;4,0;2,0;Demoraron mucho en atenderme;0,452
388;2;48,0;Valparaiso;Viña del Mar;Cuenta Corriente;2;99,0;4,0;99,0;3,0;4,0;8,0;;0,876
389;2;26,0;Coquimbo;STGO;Credito de Consumo;7;4,0;2,0;4,0;4,0;99,0;10,0;;1,802
390;1;999,0;biobio;temuco;Credito de Consumo;21;2,0;2,0;5,0;3,0;3,0;5,0;Todo bien;1,917
391;1;42,0;Valparaiso;STGO;Cuenta Corriente;17;5,0;5,0;5,0;5,0;3,0;10,0;;1,556
392;2;32,0;METROPOLITANA;Temuco;Cuenta Vista;10;4,0;3,0;99,0;1,0;1,0;9,0;;0,664
393;1;58,0;Metropolitana;concepción;Tarjeta de Credito;7;5,0;4,0;5,0;1,0;4,0;7,0;Buena atencion;1,368
394;2;71,0;Coquimbo;Vina del Mar;Cuenta Vista;18;4,0;3,0;1,0;4,0;3,0;10,0;Demoraron mucho en atenderme;0,828
395;1;21,0;Valparaiso;La Serena;Tarjeta de Credito;2;1,0;99,0;4,0;1,0;4,0;8,0;Sin comentarios;1,615
396;1;76,0;Metropolitana;Santiago;Cuenta Vista;24;2,0;5,0;1,0;2,0;3,0;9,0;;0,721
397;1;43,0;Biobio;STGO;Cuenta Corriente;18;99,0;5,0;4,0;4,0;1,0;5,0;;0,999
398;1;29,0;Araucania;Valparaiso;Cuenta Corriente;13;3,0;1,0;4,0;3,0;5,0;99,0;Mejorar el sitio web;0,622
399;1;46,0;Metropolitana;La Serena;Cuenta Vista;10;5,0;1,0;99,0;3,0;4,0;10,0;;0,993
400;2;19,0;METROPOLITANA;La Serena;Cuenta Vista;11;4,0;3,0;5,0;5,0;4,0;9,0;Sin comentarios;1,366
401;1;50,0;Metropolitana;STGO;Credito de Consumo;6;5,0;5,0;4,0;4,0;3,0;7,0;;2,04
402;2;77,0;Metropolitana;Villarrica;Tarjeta de Credito;11;4,0;4,0;4,0;4,0;5,0;7,0;La app se cae seguido;1,843
403;2;54,0;Biobio;Ovalle;Cuenta Vista;10;5,0;3,0;4,0;5,0;5,0;7,0;Sin comentarios;0,692
404;2;23,0;BIOBIO;santiago;Tarjeta de Credito;9;2,0;4,0;4,0;5,0;4,0;9,0;Demoraron mucho en atenderme;1,22
405;2;72,0;  Metropolitana;temuco;Cuenta Corriente;4;5,0;3,0;5,0;5,0;5,0;8,0;La app se cae seguido;0,521
406;2;44,0;  Metropolitana;valpo;Cuenta Corriente;1;4,0;4,0;3,0;5,0;5,0;10,0;;1,523
407;2;68,0;Biobio;Ovalle;Cuenta Corriente;9;99,0;4,0;4,0;5,0;5,0;9,0;;2,064
408;1;47,0;Metropolitana;Los Angeles;Cuenta Corriente;9;4,0;3,0;3,0;4,0;4,0;5,0;Mejorar el sitio web;1,224
409;2;28,0;Biobio;Talcahuano;Cuenta Vista;5;3,0;3,0;5,0;2,0;5,0;7,0;Sin comentarios;1,907
410;1;77,0;Metropolitana;VALPARAISO;Credito de Consumo;4;4,0;4,0;5,0;3,0;5,0;5,0;;0,708
411;1;27,0;Metropolitana;Ovalle;Cuenta Corriente;5;2,0;99,0;99,0;1,0;4,0;7,0;;1,199
412;1;61,0;Metropolitana;santiago;Cuenta Vista;14;2,0;4,0;4,0;3,0;4,0;7,0;;1,264
413;2;41,0;Araucania;Puente Alto;Cuenta Corriente;3;3,0;4,0;3,0;4,0;5,0;7,0;Demoraron mucho en atenderme;0,41
414;1;61,0;Coquimbo;Puente Alto;Credito de Consumo;5;99,0;4,0;4,0;99,0;5,0;6,0;La app se cae seguido;0,55
415;2;75,0;METROPOLITANA;santiago;Cuenta Vista;14;4,0;5,0;3,0;5,0;2,0;2,0;;1,926
416;2;77,0;Metropolitana;Puente Alto;Cuenta Vista;7;3,0;2,0;1,0;3,0;1,0;10,0;Todo bien;1,672
417;2;21,0;Metropolitana;La Serena;Cuenta Vista;17;5,0;3,0;5,0;5,0;3,0;7,0;;0,667
